activity,time,playing
Playing racquet sports,680.0,0.0003939064823425802
Playing racquet sports,685.0,0.00038067060270078967
Playing racquet sports,690.0,0.0003805895586137836
Playing racquet sports,695.0,0.0003192397121330555
Playing racquet sports,700.0,0.0003174930061506185
Playing racquet sports,705.0,0.00031841935541272764
Playing racquet sports,710.0,0.00026405351518075536
Playing racquet sports,715.0,0.0002497840397748946
Playing racquet sports,720.0,0.00027390077057977034
Playing racquet sports,725.0,0.0002404781371499603
Playing racquet sports,730.0,0.0002455511879379123
Playing racquet sports,735.0,0.00025559082750478793
Playing racquet sports,740.0,0.00024371199164272675
Playing racquet sports,745.0,0.00023938703735191773
Playing racquet sports,750.0,0.00025025579819774716
Playing racquet sports,755.0,0.00022001592016399703
Playing racquet sports,760.0,0.0002109607305992367
Playing racquet sports,765.0,0.0002119399462609231
Playing racquet sports,770.0,0.00019892806830920502
Playing racquet sports,775.0,0.0002023951137649646
Playing racquet sports,780.0,0.00024037401896713238
Playing racquet sports,785.0,0.00023805563087142895
Playing racquet sports,790.0,0.00022414771193657475
Playing racquet sports,795.0,0.0002350143141105761
Playing racquet sports,800.0,0.0002254494673922366
Playing racquet sports,805.0,0.0002254494673922366
Playing racquet sports,810.0,0.0002419024390890444
Playing racquet sports,815.0,0.00024773090918568663
Playing racquet sports,820.0,0.0002474857972646505
Playing racquet sports,825.0,0.0002594516030311388
Playing racquet sports,830.0,0.000261092056729168
Playing racquet sports,835.0,0.00026355799881941594
Playing racquet sports,840.0,0.0003148769711694032
Playing racquet sports,845.0,0.0002556370623065575
Playing racquet sports,850.0,0.0002464580983602086
Playing racquet sports,855.0,0.00025784001147745924
Playing racquet sports,860.0,0.00026186819665488206
Playing racquet sports,865.0,0.0002801527507656349
Playing racquet sports,870.0,0.0003017964527186024
Playing racquet sports,875.0,0.00028860605874925623
Playing racquet sports,880.0,0.00028429147836834666
Playing racquet sports,885.0,0.0002872871901155484
Playing racquet sports,890.0,0.00028715195108053093
Playing racquet sports,895.0,0.0002851474838866501
Playing racquet sports,900.0,0.0002979152909061084
Playing racquet sports,905.0,0.00027415582467634023
Playing racquet sports,910.0,0.00028065379192284025
Playing racquet sports,915.0,0.00028834006413530736
Playing racquet sports,920.0,0.0002705269604417926
Playing racquet sports,925.0,0.0002834011195184175
Playing racquet sports,930.0,0.00033526315666229705
Playing racquet sports,935.0,0.00025509899606646
Playing racquet sports,940.0,0.0002658909187253129
Playing racquet sports,945.0,0.0002577375459070924
Playing racquet sports,950.0,0.00026385233135391373
Playing racquet sports,955.0,0.00028150980182868796
Playing racquet sports,960.0,0.00030954734635176186
Playing racquet sports,965.0,0.00028758763678087137
Playing racquet sports,970.0,0.00029577781758628903
Playing racquet sports,975.0,0.00033130846688954904
Playing racquet sports,980.0,0.0003436692832753272
Playing racquet sports,985.0,0.0003553104476140885
Playing racquet sports,990.0,0.0003676959070815539
Playing racquet sports,995.0,0.0003415623379627025
Playing racquet sports,1000.0,0.00034446692655598003
Playing racquet sports,1005.0,0.000343389634360058
Playing racquet sports,1010.0,0.0003393045830976136
Playing racquet sports,1015.0,0.0003599695765890233
Playing racquet sports,1020.0,0.0003730275930797875
Playing racquet sports,1025.0,0.00033563858356505926
Playing racquet sports,1030.0,0.0003340723899329369
Playing racquet sports,1035.0,0.0003605001640842469
Playing racquet sports,1040.0,0.00034406241339310183
Playing racquet sports,1045.0,0.00034829722909494247
Playing racquet sports,1050.0,0.0003757208717448298
Playing racquet sports,1055.0,0.000405959683605299
Playing racquet sports,1060.0,0.0004074987525606406
Playing racquet sports,1065.0,0.00041161849701389753
Playing racquet sports,1070.0,0.00040159871635033216
Playing racquet sports,1075.0,0.0004250679623154352
Playing racquet sports,1080.0,0.0004590151178991369
Playing racquet sports,1085.0,0.00039437600399531487
Playing racquet sports,1090.0,0.0003967844973346494
Playing racquet sports,1095.0,0.00043681257529775417
Playing racquet sports,1100.0,0.00042273480048034197
Playing racquet sports,1105.0,0.00042273480048034197
Playing racquet sports,1110.0,0.00043361475219683187
Playing racquet sports,1115.0,0.00040356755668395937
Playing racquet sports,1120.0,0.00039104782870629033
Playing racquet sports,1125.0,0.00045395789386122284
Playing racquet sports,1130.0,0.00044339072053000247
Playing racquet sports,1135.0,0.0004458902554149356
Playing racquet sports,1140.0,0.00047995625729039393
Playing racquet sports,1145.0,0.0004218868812063055
Playing racquet sports,1150.0,0.00041708856879396806
Playing racquet sports,1155.0,0.0004259787919556121
Playing racquet sports,1160.0,0.0004263444490255833
Playing racquet sports,1165.0,0.0004250595434953053
Playing racquet sports,1170.0,0.00041469411559660543
Playing racquet sports,1175.0,0.00039757638415709385
Playing racquet sports,1180.0,0.00038702475063050965
Playing racquet sports,1185.0,0.0003981786062116757
Playing racquet sports,1190.0,0.0003538899971491999
Playing racquet sports,1195.0,0.0003633670929802151
Playing racquet sports,1200.0,0.0003679345635208131
Playing racquet sports,1205.0,0.0003498804467502092
Playing racquet sports,1210.0,0.00034190377613877565
Playing racquet sports,1215.0,0.00034943422734560336
Playing racquet sports,1220.0,0.0002488777187753085
Playing racquet sports,1225.0,0.0002488777187753085
Playing racquet sports,1230.0,0.0002465284844876929
Playing racquet sports,1235.0,0.00020300482799030618
Playing racquet sports,1240.0,0.00021502669955372362
Playing racquet sports,1245.0,0.00020851887788257706
Playing racquet sports,1250.0,0.00014765359443417992
Playing racquet sports,1255.0,0.00015146882839077097
Playing racquet sports,1260.0,0.00014870607418920214
Playing racquet sports,1265.0,0.00012525276554025493
Playing racquet sports,1270.0,0.00012111764713153877
Playing racquet sports,1275.0,0.00012111764713153877
Playing racquet sports,1280.0,0.00010584899273712541
Playing racquet sports,1285.0,0.00010778305914912376
Playing racquet sports,1290.0,0.00011214417031554585
Playing racquet sports,1295.0,5.378286984456049e-05
Playing racquet sports,1300.0,5.378286984456049e-05
Playing racquet sports,1305.0,5.378286984456049e-05
Playing racquet sports,1310.0,5.0975297754799704e-05
Playing racquet sports,1315.0,5.0975297754799704e-05
Playing racquet sports,1320.0,5.002884651942242e-05
Playing racquet sports,1325.0,2.408444286588468e-05
Playing racquet sports,1330.0,2.408444286588468e-05
Playing racquet sports,1335.0,2.408444286588468e-05
Playing racquet sports,1340.0,2.295694750981556e-05
Playing racquet sports,1345.0,2.295694750981556e-05
Playing racquet sports,1350.0,1.1545785266802e-05
Playing racquet sports,1355.0,8.864880705384846e-06
Playing racquet sports,1360.0,8.864880705384846e-06
Playing racquet sports,1365.0,8.864880705384846e-06
Playing racquet sports,1370.0,8.864880705384846e-06
Playing racquet sports,1375.0,8.864880705384846e-06
Playing racquet sports,1380.0,8.864880705384846e-06
Playing racquet sports,1385.0,0.0
Playing racquet sports,1390.0,0.0
Playing racquet sports,1395.0,0.0
Playing racquet sports,1400.0,0.0
Playing racquet sports,1405.0,0.0
Playing racquet sports,1410.0,0.0
Playing racquet sports,1415.0,0.0
Playing racquet sports,1420.0,0.0
Playing racquet sports,1425.0,0.0
Playing racquet sports,1430.0,0.0
Playing racquet sports,1435.0,0.0
Playing basketball,0.0,1.7631706814255868e-05
Playing basketball,5.0,1.9048457175229543e-05
Playing basketball,10.0,1.9048457175229543e-05
Playing basketball,15.0,1.9048457175229543e-05
Playing basketball,20.0,1.9048457175229543e-05
Playing basketball,25.0,1.9048457175229543e-05
Playing basketball,30.0,1.9048457175229543e-05
Playing basketball,35.0,1.9048457175229543e-05
Playing basketball,40.0,1.9048457175229543e-05
Playing basketball,45.0,1.9048457175229543e-05
Playing basketball,50.0,1.9048457175229543e-05
Playing basketball,55.0,1.9048457175229543e-05
Playing basketball,60.0,1.9048457175229543e-05
Playing basketball,65.0,1.0676746986713259e-05
Playing basketball,70.0,1.0676746986713259e-05
Playing basketball,75.0,7.033353837751442e-06
Playing basketball,80.0,7.033353837751442e-06
Playing basketball,85.0,5.037506413532462e-06
Playing basketball,90.0,5.037506413532462e-06
Playing basketball,95.0,5.037506413532462e-06
Playing basketball,100.0,5.037506413532462e-06
Playing basketball,105.0,5.037506413532462e-06
Playing basketball,110.0,5.037506413532462e-06
Playing basketball,115.0,5.037506413532462e-06
Playing basketball,120.0,5.037506413532462e-06
Playing basketball,125.0,5.037506413532462e-06
Playing basketball,130.0,5.037506413532462e-06
Playing basketball,135.0,0.0
Playing basketball,140.0,0.0
Playing basketball,145.0,0.0
Playing basketball,150.0,0.0
Playing basketball,155.0,0.0
Playing basketball,160.0,0.0
Playing basketball,165.0,0.0
Playing basketball,170.0,0.0
Playing basketball,175.0,0.0
Playing basketball,180.0,0.0
Playing basketball,185.0,0.0
Playing basketball,190.0,0.0
Playing basketball,195.0,0.0
Playing basketball,200.0,0.0
Playing basketball,205.0,0.0
Playing basketball,210.0,0.0
Playing basketball,215.0,0.0
Playing basketball,220.0,0.0
Playing basketball,225.0,0.0
Playing basketball,230.0,0.0
Playing basketball,235.0,0.0
Playing basketball,240.0,5.420480243608152e-06
Playing basketball,245.0,5.420480243608152e-06
Playing basketball,250.0,5.420480243608152e-06
Playing basketball,255.0,5.420480243608152e-06
Playing basketball,260.0,5.420480243608152e-06
Playing basketball,265.0,5.420480243608152e-06
Playing basketball,270.0,5.420480243608152e-06
Playing basketball,275.0,5.420480243608152e-06
Playing basketball,280.0,5.420480243608152e-06
Playing basketball,285.0,5.420480243608152e-06
Playing basketball,290.0,5.420480243608152e-06
Playing basketball,295.0,5.420480243608152e-06
Playing basketball,300.0,5.420480243608152e-06
Playing basketball,305.0,5.420480243608152e-06
Playing basketball,310.0,5.420480243608152e-06
Playing basketball,315.0,5.420480243608152e-06
Playing basketball,320.0,9.729029506031883e-06
Playing basketball,325.0,9.729029506031883e-06
Playing basketball,330.0,2.025913598493765e-05
Playing basketball,335.0,2.520415735077475e-05
Playing basketball,340.0,2.923695559234425e-05
Playing basketball,345.0,3.200302502243617e-05
Playing basketball,350.0,3.200302502243617e-05
Playing basketball,355.0,3.200302502243617e-05
Playing basketball,360.0,3.800687579750233e-05
Playing basketball,365.0,5.275803863911634e-05
Playing basketball,370.0,5.675995997596307e-05
Playing basketball,375.0,5.675995997596307e-05
Playing basketball,380.0,5.675995997596307e-05
Playing basketball,385.0,5.675995997596307e-05
Playing basketball,390.0,6.0509577329048595e-05
Playing basketball,395.0,5.641344312953511e-05
Playing basketball,400.0,8.132205900183738e-05
Playing basketball,405.0,8.132205900183738e-05
Playing basketball,410.0,7.855598957174547e-05
Playing basketball,415.0,7.97253464886126e-05
Playing basketball,420.0,8.074475556672899e-05
Playing basketball,425.0,6.255339202080561e-05
Playing basketball,430.0,5.781743363398296e-05
Playing basketball,435.0,5.378463539241345e-05
Playing basketball,440.0,5.0207430982742545e-05
Playing basketball,445.0,6.670459779969491e-05
Playing basketball,450.0,0.00010081774559438576
Playing basketball,455.0,8.077638274153836e-05
Playing basketball,460.0,8.578429165828525e-05
Playing basketball,465.0,0.00010114069694002283
Playing basketball,470.0,0.00010119291749306946
Playing basketball,475.0,0.00010119291749306946
Playing basketball,480.0,9.566132268838704e-05
Playing basketball,485.0,0.00011320773651767263
Playing basketball,490.0,0.00016402601809974764
Playing basketball,495.0,0.00016651605044109264
Playing basketball,500.0,0.00017248722629575476
Playing basketball,505.0,0.00017248722629575476
Playing basketball,510.0,0.00017248722629575476
Playing basketball,515.0,0.00019010884351298608
Playing basketball,520.0,0.00019375739729163145
Playing basketball,525.0,0.00019901479426616528
Playing basketball,530.0,0.00020137743513434623
Playing basketball,535.0,0.00018455281447372825
Playing basketball,540.0,0.0002356831303135483
Playing basketball,545.0,0.0002423244807549184
Playing basketball,550.0,0.0002479011145800288
Playing basketball,555.0,0.0002356541532155361
Playing basketball,560.0,0.00026112111394374036
Playing basketball,565.0,0.00028056750296529887
Playing basketball,570.0,0.00034569458112584456
Playing basketball,575.0,0.00031800176561262033
Playing basketball,580.0,0.00032836043055043415
Playing basketball,585.0,0.00033538587627821986
Playing basketball,590.0,0.00031753970190779934
Playing basketball,595.0,0.00030551783034438184
Playing basketball,600.0,0.0003787554079946192
Playing basketball,605.0,0.00035660638027187116
Playing basketball,610.0,0.00041740194037523593
Playing basketball,615.0,0.0004272502847627625
Playing basketball,620.0,0.00045868218752259334
Playing basketball,625.0,0.0004911450447447858
Playing basketball,630.0,0.0005831655699554582
Playing basketball,635.0,0.0005237454936032851
Playing basketball,640.0,0.0005288793618987149
Playing basketball,645.0,0.0005695516270232464
Playing basketball,650.0,0.0005783143332279577
Playing basketball,655.0,0.0005767200189464836
Playing basketball,660.0,0.0006121071788762997
Playing basketball,665.0,0.0005878968029569985
Playing basketball,670.0,0.0005953616366828117
Playing basketball,675.0,0.0006053426428617952
Playing basketball,680.0,0.0006364798439191452
Playing basketball,685.0,0.0006655386239673044
Playing basketball,690.0,0.0006736893396886566
Playing basketball,695.0,0.0006218804427271231
Playing basketball,700.0,0.0006581086369963563
Playing basketball,705.0,0.000689753774412385
Playing basketball,710.0,0.0006964344161910634
Playing basketball,715.0,0.0007125895168865929
Playing basketball,720.0,0.0008588296893509553
Playing basketball,725.0,0.0008883833493032679
Playing basketball,730.0,0.0008893511011890344
Playing basketball,735.0,0.0008804444651014252
Playing basketball,740.0,0.0008486079649378641
Playing basketball,745.0,0.0008426725186119939
Playing basketball,750.0,0.0008747743897439474
Playing basketball,755.0,0.0008561405704289758
Playing basketball,760.0,0.0008919765858000529
Playing basketball,765.0,0.0009249622189334797
Playing basketball,770.0,0.0009223020964147074
Playing basketball,775.0,0.0009406805334447908
Playing basketball,780.0,0.000984555152424059
Playing basketball,785.0,0.0009212764580766016
Playing basketball,790.0,0.000948584114762656
Playing basketball,795.0,0.0009432728220706364
Playing basketball,800.0,0.0008959608553439075
Playing basketball,805.0,0.0008997123128331002
Playing basketball,810.0,0.0009787345211141817
Playing basketball,815.0,0.0008852504927472782
Playing basketball,820.0,0.0008768299360273328
Playing basketball,825.0,0.0008949017565394543
Playing basketball,830.0,0.0008980597530226556
Playing basketball,835.0,0.0009416327325387897
Playing basketball,840.0,0.001038615386150783
Playing basketball,845.0,0.0010299413818775126
Playing basketball,850.0,0.0010836125079871368
Playing basketball,855.0,0.001211776667201981
Playing basketball,860.0,0.0011932833853206036
Playing basketball,865.0,0.0012082040618163151
Playing basketball,870.0,0.001326224821305076
Playing basketball,875.0,0.0014374558637847061
Playing basketball,880.0,0.001477713743771535
Playing basketball,885.0,0.0014886765919962627
Playing basketball,890.0,0.00146523674521094
Playing basketball,895.0,0.0014896327598873935
Playing basketball,900.0,0.001517076411143605
Playing basketball,905.0,0.0014743615651047922
Playing basketball,910.0,0.0014889170373251109
Playing basketball,915.0,0.0015623824268089484
Playing basketball,920.0,0.0015541340425949865
Playing basketball,925.0,0.0015619659918105185
Playing basketball,930.0,0.00162851125154901
Playing basketball,935.0,0.0015889477969841096
Playing basketball,940.0,0.0015622398193319224
Playing basketball,945.0,0.0015647162029002529
Playing basketball,950.0,0.0016053044597128046
Playing basketball,955.0,0.0016525941008587806
Playing basketball,960.0,0.001684288434932279
Playing basketball,965.0,0.0017030618325636466
Playing basketball,970.0,0.0017150535011491554
Playing basketball,975.0,0.0017263843660652145
Playing basketball,980.0,0.0017506871831567677
Playing basketball,985.0,0.0017949243544041114
Playing basketball,990.0,0.001899030886546729
Playing basketball,995.0,0.0019065197368128934
Playing basketball,1000.0,0.0019335759038434208
Playing basketball,1005.0,0.0020282518060048787
Playing basketball,1010.0,0.0019314439153050632
Playing basketball,1015.0,0.001936557250770368
Playing basketball,1020.0,0.002089857971949973
Playing basketball,1025.0,0.0019576263581581187
Playing basketball,1030.0,0.00196515648731919
Playing basketball,1035.0,0.0019501366646059266
Playing basketball,1040.0,0.0019528764991532351
Playing basketball,1045.0,0.001973314335432664
Playing basketball,1050.0,0.002033370791749819
Playing basketball,1055.0,0.0018516377958796863
Playing basketball,1060.0,0.0017666984197825645
Playing basketball,1065.0,0.0017250849158253626
Playing basketball,1070.0,0.0016974450228722836
Playing basketball,1075.0,0.0017659886511179868
Playing basketball,1080.0,0.0018154389700774226
Playing basketball,1085.0,0.0015309353019026936
Playing basketball,1090.0,0.0014922241181783318
Playing basketball,1095.0,0.0015543322674619075
Playing basketball,1100.0,0.0015809250790945525
Playing basketball,1105.0,0.0015704447545715346
Playing basketball,1110.0,0.0016559373385876149
Playing basketball,1115.0,0.0014944383433382546
Playing basketball,1120.0,0.0015175785875340398
Playing basketball,1125.0,0.0015320938400126625
Playing basketball,1130.0,0.0015529497092341795
Playing basketball,1135.0,0.0016105859969564413
Playing basketball,1140.0,0.0016713204824422288
Playing basketball,1145.0,0.0014818209135226386
Playing basketball,1150.0,0.0015197236772798756
Playing basketball,1155.0,0.0015412806190530366
Playing basketball,1160.0,0.0015509488301740815
Playing basketball,1165.0,0.0015791903765559926
Playing basketball,1170.0,0.0016011209738925045
Playing basketball,1175.0,0.001483796135978301
Playing basketball,1180.0,0.0015067345575207848
Playing basketball,1185.0,0.0015220899247095252
Playing basketball,1190.0,0.0015086403839422245
Playing basketball,1195.0,0.001492619972083649
Playing basketball,1200.0,0.0014636988959929322
Playing basketball,1205.0,0.0012952899325509785
Playing basketball,1210.0,0.001278310807148031
Playing basketball,1215.0,0.0011813756171134824
Playing basketball,1220.0,0.0011285171467063147
Playing basketball,1225.0,0.0010931721194875382
Playing basketball,1230.0,0.0010452794472237993
Playing basketball,1235.0,0.0008154141498443318
Playing basketball,1240.0,0.0007989950848271336
Playing basketball,1245.0,0.0007954437449915015
Playing basketball,1250.0,0.0007113953361212106
Playing basketball,1255.0,0.0006897074164961206
Playing basketball,1260.0,0.0006895150832237745
Playing basketball,1265.0,0.0004978761669764153
Playing basketball,1270.0,0.00046344129810352774
Playing basketball,1275.0,0.0004433240526708667
Playing basketball,1280.0,0.0004204335747031815
Playing basketball,1285.0,0.00044968315501568506
Playing basketball,1290.0,0.0004365007735798605
Playing basketball,1295.0,0.0003558239363224116
Playing basketball,1300.0,0.00035937964176468816
Playing basketball,1305.0,0.0003560780962374397
Playing basketball,1310.0,0.00034834809337027457
Playing basketball,1315.0,0.0003435583840549304
Playing basketball,1320.0,0.00034682503895186977
Playing basketball,1325.0,0.00017722026872059164
Playing basketball,1330.0,0.00017768911118145843
Playing basketball,1335.0,0.00016433975209218015
Playing basketball,1340.0,0.00014772713582031968
Playing basketball,1345.0,0.00013496837003803506
Playing basketball,1350.0,0.00013832553822023164
Playing basketball,1355.0,0.00011628410712548496
Playing basketball,1360.0,0.0001308507544213046
Playing basketball,1365.0,9.2591367547947e-05
Playing basketball,1370.0,8.523327926652806e-05
Playing basketball,1375.0,7.24178132483989e-05
Playing basketball,1380.0,8.838640557548287e-05
Playing basketball,1385.0,7.880698957732102e-05
Playing basketball,1390.0,7.880698957732102e-05
Playing basketball,1395.0,7.660747848618465e-05
Playing basketball,1400.0,7.273312938932987e-05
Playing basketball,1405.0,7.273312938932987e-05
Playing basketball,1410.0,5.132191288222148e-05
Playing basketball,1415.0,5.132191288222148e-05
Playing basketball,1420.0,4.2108069713178946e-05
Playing basketball,1425.0,2.7541422417359297e-05
Playing basketball,1430.0,1.7631706814255868e-05
Playing basketball,1435.0,1.7631706814255868e-05
Dancing,0.0,0.0006272396524054221
Dancing,5.0,0.0005582428582193706
Dancing,10.0,0.0005721790469800852
Dancing,15.0,0.0005749108163433397
Dancing,20.0,0.0005579465936735867
Dancing,25.0,0.0005514082206535092
Dancing,30.0,0.0005503756454322587
Dancing,35.0,0.0004970612556374004
Dancing,40.0,0.0005035250351381988
Dancing,45.0,0.0005153969334151082
Dancing,50.0,0.0005053981752316191
Dancing,55.0,0.0005053981752316191
Dancing,60.0,0.0005072745524552729
Dancing,65.0,0.0003945572354641512
Dancing,70.0,0.0003791133829131596
Dancing,75.0,0.0003767753254560625
Dancing,80.0,0.0003747011831801373
Dancing,85.0,0.00037231832714004347
Dancing,90.0,0.000400451411670204
Dancing,95.0,0.0003809173102839608
Dancing,100.0,0.0003756738657005115
Dancing,105.0,0.0003862917230667415
Dancing,110.0,0.0003653963757740277
Dancing,115.0,0.0003565825774926809
Dancing,120.0,0.00035758312715009354
Dancing,125.0,0.00024480257634306064
Dancing,130.0,0.0002469676592510643
Dancing,135.0,0.0002469676592510643
Dancing,140.0,0.0002169685722846584
Dancing,145.0,0.00020375575269854769
Dancing,150.0,0.00020375575269854769
Dancing,155.0,0.00017183009763346526
Dancing,160.0,0.00017183009763346526
Dancing,165.0,0.00016966501472546168
Dancing,170.0,0.00016784593268866858
Dancing,175.0,0.00016784593268866858
Dancing,180.0,0.00016784593268866858
Dancing,185.0,6.0044876710063504e-05
Dancing,190.0,6.0044876710063504e-05
Dancing,195.0,6.0044876710063504e-05
Dancing,200.0,5.591003383913355e-05
Dancing,205.0,5.591003383913355e-05
Dancing,210.0,5.591003383913355e-05
Dancing,215.0,4.386075855111365e-05
Dancing,220.0,4.386075855111365e-05
Dancing,225.0,4.386075855111365e-05
Dancing,230.0,4.386075855111365e-05
Dancing,235.0,4.386075855111365e-05
Dancing,240.0,6.338848738016847e-05
Dancing,245.0,3.762742341053496e-05
Dancing,250.0,2.5868804509090186e-05
Dancing,255.0,2.5868804509090186e-05
Dancing,260.0,2.9512609209713557e-05
Dancing,265.0,2.9512609209713557e-05
Dancing,270.0,2.9512609209713557e-05
Dancing,275.0,2.7372120242900324e-05
Dancing,280.0,2.7372120242900324e-05
Dancing,285.0,2.7372120242900324e-05
Dancing,290.0,2.7372120242900324e-05
Dancing,295.0,2.7372120242900324e-05
Dancing,300.0,2.7372120242900324e-05
Dancing,305.0,1.583778120184089e-05
Dancing,310.0,1.583778120184089e-05
Dancing,315.0,1.583778120184089e-05
Dancing,320.0,1.583778120184089e-05
Dancing,325.0,1.2193976501217525e-05
Dancing,330.0,1.2193976501217525e-05
Dancing,335.0,1.2193976501217525e-05
Dancing,340.0,1.2193976501217525e-05
Dancing,345.0,1.2193976501217525e-05
Dancing,350.0,1.2193976501217525e-05
Dancing,355.0,1.2193976501217525e-05
Dancing,360.0,1.2193976501217525e-05
Dancing,365.0,1.9271226842844034e-06
Dancing,370.0,1.9271226842844034e-06
Dancing,375.0,1.9271226842844034e-06
Dancing,380.0,1.9271226842844034e-06
Dancing,385.0,1.9271226842844034e-06
